"Country_Year","Year","BronzeCount","SilverCount","GoldCount","TotalMedalCount","Density Value","GDP Value","Pop Value","DensityPerBronze","DensityPerSilver","DensityPerGold","DensityPerTotal","GDPPerBronze","GDPPerSilver","GDPPerGold","GDPPerTotal","PopulationPerBronze","PopulationPerSilver","PopulationPerGold","PopulationPerTotal"
"Croatia 2000","2000","9","0","1","10","79.91669051","22128719418","4468302","8.8796322788888889",NULL,"79.9166905100000000","7.9916690510000000","2458746602.00000000",NULL,"22128719418.00000000","2212871941.80000000","496478.000000000000",NULL,"4468302.000000000000","446830.200000000000"
"Croatia 2002","2002","0","1","3","4","76.94544999","26757255952","4302174",NULL,"76.9454499900000000","25.6484833300000000","19.2363624975000000",NULL,"26757255952.00000000","8919085317.33333333","6689313988.00000000",NULL,"4302174.000000000000","1434058.000000000000","1075543.500000000000"
"Croatia 2004","2004","3","3","15","21","76.91730398","41855265955","4304600","25.6391013266666667","25.6391013266666667","5.1278202653333333","3.6627287609523810","13951755318.33333333","13951755318.33333333","2790351063.66666667","1993107902.61904762","1434866.666666666667","1434866.666666666667","286973.333333333333","204980.952380952381"
"Croatia 2006","2006","0","2","1","3","77.03450432","49601608069","4311159",NULL,"38.5172521600000000","77.0345043200000000","25.6781681066666667",NULL,"24800804034.50000000","49601608069.00000000","16533869356.33333333",NULL,"2155579.500000000000","4311159.000000000000","1437053.000000000000"
"Croatia 2008","2008","3","2","0","5","77.00852334","68519137406","4309705","25.6695077800000000","38.5042616700000000",NULL,"15.4017046680000000","22839712468.66666667","34259568703.00000000",NULL,"13703827481.20000000","1436568.333333333333","2154852.500000000000",NULL,"861941.000000000000"
"Croatia 2010","2010","1","2","0","3","76.75339504","58819429750","4295427","76.7533950400000000","38.3766975200000000",NULL,"25.5844650133333333","58819429750.00000000","29409714875.00000000",NULL,"19606476583.33333333","4295427.000000000000","2147713.500000000000",NULL,"1431809.000000000000"
"Croatia 2012","2012","16","4","15","35","76.25541419","57354547991","4267558","4.7659633868750000","19.0638535475000000","5.0836942793333333","2.1787261197142857","3584659249.43750000","14338636997.75000000","3823636532.73333333","1638701371.17142857","266722.375000000000","1066889.500000000000","284503.866666666667","121930.228571428571"
"Croatia 2014","2014","0","1","0","1","75.73420413","59342363989","4238389",NULL,"75.7342041300000000",NULL,"75.7342041300000000",NULL,"59342363989.00000000",NULL,"59342363989.00000000",NULL,"4238389.000000000000",NULL,"4238389.000000000000"
"Croatia 2016","2016","2","15","7","24","74.58989708","52512987756","4174349","37.2949485400000000","4.9726598053333333","10.6556995828571429","3.1079123783333333","26256493878.00000000","3500865850.40000000","7501855393.71428571","2188041156.50000000","2087174.500000000000","278289.933333333333","596335.571428571429","173931.208333333333"
"Cuba 1972","1972","18","1","3","22","85.37513035","8135150892","9169289","4.7430627972222222","85.3751303500000000","28.4583767833333333","3.8806877431818182","451952827.33333333","8135150892.00000000","2711716964.00000000","369779586.00000000","509404.944444444444","9169289.000000000000","3056429.666666666667","416785.863636363636"
"Cuba 1976","1976","14","4","6","24","89.39350093","13789579903","9600862","6.3852500664285714","22.3483752325000000","14.8989168216666667","3.7247292054166667","984969993.07142857","3447394975.75000000","2298263317.16666667","574565829.29166667","685775.857142857143","2400215.500000000000","1600143.666666666667","400035.916666666667"
"Cuba 1980","1980","5","7","8","20","91.33246741","19912889861","9809107","18.2664934820000000","13.0474953442857143","11.4165584262500000","4.5666233705000000","3982577972.20000000","2844698551.57142857","2489111232.62500000","995644493.05000000","1961821.400000000000","1401301.000000000000","1226138.375000000000","490455.350000000000"
"Cuba 1992","1992","14","13","42","69","100.4073371","22085858243","10783748","7.1719526500000000","7.7236413153846154","2.3906508833333333","1.4551787985507246","1577561303.07142857","1698912172.53846154","525853767.69047619","320084902.07246377","770267.714285714286","829519.076923076923","256755.904761904762","156286.202898550725"
"Cuba 1996","1996","10","8","37","55","102.0766387","25017368700","10963031","10.2076638700000000","12.7595798375000000","2.7588280729729730","1.8559388854545455","2501736870.00000000","3127171087.50000000","676145100.00000000","454861249.09090909","1096303.100000000000","1370378.875000000000","296298.135135135135","199327.836363636364"
"Cuba 2000","2000","12","35","18","65","103.4058752","30565400000","11105791","8.6171562666666667","2.9544535771428571","5.7447708444444444","1.5908596184615385","2547116666.66666667","873297142.85714286","1698077777.77777778","470236923.07692308","925482.583333333333","317308.314285714286","616988.388888888889","170858.323076923077"
"Cuba 2004","2004","22","8","32","62","105.4909689","38203000000","11225294","4.7950440409090909","13.1863711125000000","3.2965927781250000","1.7014672403225806","1736500000.00000000","4775375000.00000000","1193843750.00000000","616177419.35483871","510240.636363636364","1403161.750000000000","350790.437500000000","181053.129032258065"
"Cuba 2008","2008","11","34","2","47","105.943339","56302129630","11276609","9.6312126363636364","3.1159805588235294","52.9716695000000000","2.2541135957446809","5118375420.90909091","1655944989.11764706","28151064815.00000000","1197917651.70212766","1025146.272727272727","331664.970588235294","5638304.500000000000","239927.851063829787"
"Cuba 2012","2012","6","3","5","14","106.042157","73141000000","11309290","17.6736928333333333","35.3473856666666667","21.2084314000000000","7.5744397857142857","12190166666.66666667","24380333333.33333333","14628200000.00000000","5224357142.85714286","1884881.666666666667","3769763.333333333333","2261858.000000000000","807806.428571428571"
"Cuba 2016","2016","4","2","5","11","109.0158785","91370407864","11342012","27.2539696250000000","54.5079392500000000","21.8031757000000000","9.9105344090909091","22842601966.00000000","45685203932.00000000","18274081572.80000000","8306400714.90909091","2835503.000000000000","5671006.000000000000","2268402.400000000000","1031092.000000000000"
"Cyprus 2012","2012","0","1","0","1","125.1683983","24977293926","1156556",NULL,"125.1683983000000000",NULL,"125.1683983000000000",NULL,"24977293926.00000000",NULL,"24977293926.00000000",NULL,"1156556.000000000000",NULL,"1156556.000000000000"
"Czechia 1996","1996","4","5","4","13","133.4960657","67387788633","10315241","33.3740164250000000","26.6992131400000000","33.3740164250000000","10.2689281307692308","16846947158.25000000","13477557726.60000000","16846947158.25000000","5183676048.69230769","2578810.250000000000","2063048.200000000000","2578810.250000000000","793480.076923076923"
"Czechia 1998","1998","1","1","21","23","133.2259997","66807429711","10294373","133.2259997000000000","133.2259997000000000","6.3440952238095238","5.7924347695652174","66807429711.00000000","66807429711.00000000","3181306176.71428571","2904670857.00000000","10294373.000000000000","10294373.000000000000","490208.238095238095","447581.434782608696"
"Czechia 2000","2000","4","3","2","9","132.7172641","61828166496","10255063","33.1793160250000000","44.2390880333333333","66.3586320500000000","14.7463626777777778","15457041624.00000000","20609388832.00000000","30914083248.00000000","6869796277.33333333","2563765.750000000000","3418354.333333333333","5127531.500000000000","1139451.444444444444"
"Czechia 2002","2002","0","2","1","3","131.964747","82196001051","10196916",NULL,"65.9823735000000000","131.9647470000000000","43.9882490000000000",NULL,"41098000525.50000000","82196001051.00000000","27398667017.00000000",NULL,"5098458.000000000000","10196916.000000000000","3398972.000000000000"
"Czechia 2004","2004","6","6","1","13","131.9842221","120000000000","10197101","21.9973703500000000","21.9973703500000000","131.9842221000000000","10.1526324692307692","20000000000.00000000","20000000000.00000000","120000000000.00000000","9230769230.76923077","1699516.833333333333","1699516.833333333333","10197101.000000000000","784392.384615384615"
"Czechia 2006","2006","24","2","1","27","132.5424595","156000000000","10238905","5.5226024791666667","66.2712297500000000","132.5424595000000000","4.9089799814814815","6500000000.00000000","78000000000.00000000","156000000000.00000000","5777777777.77777778","426621.041666666667","5119452.500000000000","10238905.000000000000","379218.703703703704"
"Czechia 2008","2008","0","4","3","7","134.4459218","237000000000","10384603",NULL,"33.6114804500000000","44.8153072666666667","19.2065602571428571",NULL,"59250000000.00000000","79000000000.00000000","33857142857.14285714",NULL,"2596150.750000000000","3461534.333333333333","1483514.714285714286"
"Czechia 2010","2010","7","0","2","9","135.6261815","209000000000","10474410","19.3751687857142857",NULL,"67.8130907500000000","15.0695757222222222","29857142857.14285714",NULL,"104500000000.00000000","23222222222.22222222","1496344.285714285714",NULL,"5237205.000000000000","1163823.333333333333"
"Czechia 2012","2012","6","4","4","14","136.0971773","209000000000","10510785","22.6828628833333333","34.0242943250000000","34.0242943250000000","9.7212269500000000","34833333333.33333333","52250000000.00000000","52250000000.00000000","14928571428.57142857","1751797.500000000000","2627696.250000000000","2627696.250000000000","750770.357142857143"
"Czechia 2014","2014","2","7","2","11","136.30338","209000000000","10525347","68.1516900000000000","19.4719114285714286","68.1516900000000000","12.3912163636363636","104500000000.00000000","29857142857.14285714","104500000000.00000000","19000000000.00000000","5262673.500000000000","1503621.000000000000","5262673.500000000000","956849.727272727273"
"Czechia 2016","2016","12","2","1","15","136.8518586","196000000000","10566332","11.4043215500000000","68.4259293000000000","136.8518586000000000","9.1234572400000000","16333333333.33333333","98000000000.00000000","196000000000.00000000","13066666666.66666667","880527.666666666667","5283166.000000000000","10566332.000000000000","704422.133333333333"
"Denmark 1968","1968","6","6","5","17","121.622075","13505573867","4864883","20.2703458333333333","20.2703458333333333","24.3244150000000000","7.1542397058823529","2250928977.83333333","2250928977.83333333","2701114773.40000000","794445521.58823529","810813.833333333333","810813.833333333333","972976.600000000000","286169.588235294118"
"Denmark 1972","1972","0","0","1","1","124.7899","23232379952","4991596",NULL,NULL,"124.7899000000000000","124.7899000000000000",NULL,NULL,"23232379952.00000000","23232379952.00000000",NULL,NULL,"4991596.000000000000","4991596.000000000000"
"Denmark 1976","1976","5","0","3","8","126.8149","44575892473","5072596","25.3629800000000000",NULL,"42.2716333333333333","15.8518625000000000","8915178494.60000000",NULL,"14858630824.33333333","5571986559.12500000","1014519.200000000000",NULL,"1690865.333333333333","634074.500000000000"
"Denmark 1980","1980","2","2","4","8","128.075675","71127528700","5123027","64.0378375000000000","64.0378375000000000","32.0189187500000000","16.0094593750000000","35563764350.00000000","35563764350.00000000","17781882175.00000000","8890941087.50000000","2561513.500000000000","2561513.500000000000","1280756.750000000000","640378.375000000000"
"Denmark 1984","1984","10","3","0","13","127.790475","59105236854","5111619","12.7790475000000000","42.5968250000000000",NULL,"9.8300365384615385","5910523685.40000000","19701745618.00000000",NULL,"4546556681.07692308","511161.900000000000","1703873.000000000000",NULL,"393201.461538461538"
"Denmark 1988","1988","3","1","3","7","128.2379","116000000000","5129516","42.7459666666666667","128.2379000000000000","42.7459666666666667","18.3197000000000000","38666666666.66666667","116000000000.00000000","38666666666.66666667","16571428571.42857143","1709838.666666666667","5129516.000000000000","1709838.666666666667","732788.000000000000"
"Denmark 1992","1992","9","2","3","14","129.28425","153000000000","5171370","14.3649166666666667","64.6421250000000000","43.0947500000000000","9.2345892857142857","17000000000.00000000","76500000000.00000000","51000000000.00000000","10928571428.57142857","574596.666666666667","2585685.000000000000","1723790.000000000000","369383.571428571429"
"Denmark 1996","1996","1","1","21","23","131.57685","188000000000","5263074","131.5768500000000000","131.5768500000000000","6.2655642857142857","5.7207326086956522","188000000000.00000000","188000000000.00000000","8952380952.38095238","8173913043.47826087","5263074.000000000000","5263074.000000000000","250622.571428571429","228829.304347826087"
"Denmark 1998","1998","0","5","0","5","132.605475","177000000000","5304219",NULL,"26.5210950000000000",NULL,"26.5210950000000000",NULL,"35400000000.00000000",NULL,"35400000000.00000000",NULL,"1060843.800000000000",NULL,"1060843.800000000000"
"Denmark 2000","2000","4","3","18","25","133.4904","164000000000","5339616","33.3726000000000000","44.4968000000000000","7.4161333333333333","5.3396160000000000","41000000000.00000000","54666666666.66666667","9111111111.11111111","6560000000.00000000","1334904.000000000000","1779872.000000000000","296645.333333333333","213584.640000000000"
"Denmark 2004","2004","9","1","19","29","135.113075","251000000000","5404523","15.0125638888888889","135.1130750000000000","7.1112144736842105","4.6590715517241379","27888888888.88888889","251000000000.00000000","13210526315.78947368","8655172413.79310345","600502.555555555556","5404523.000000000000","284448.578947368421","186362.862068965517"
"Denmark 2008","2008","6","7","6","19","137.340525","353000000000","5493621","22.8900875000000000","19.6200750000000000","22.8900875000000000","7.2284486842105263","58833333333.33333333","50428571428.57142857","58833333333.33333333","18578947368.42105263","915603.500000000000","784803.000000000000","915603.500000000000","289137.947368421053"
"Denmark 2012","2012","8","5","3","16","139.7893","327000000000","5591572","17.4736625000000000","27.9578600000000000","46.5964333333333333","8.7368312500000000","40875000000.00000000","65400000000.00000000","109000000000.00000000","20437500000.00000000","698946.500000000000","1118314.400000000000","1863857.333333333333","349473.250000000000"
"Denmark 2016","2016","16","10","15","41","143.20025","313000000000","5728010","8.9500156250000000","14.3200250000000000","9.5466833333333333","3.4926890243902439","19562500000.00000000","31300000000.00000000","20866666666.66666667","7634146341.46341463","358000.625000000000","572801.000000000000","381867.333333333333","139707.560975609756"
"Djibouti 1988","1988","1","0","0","1","20.80832614","395794538.6","482337","20.8083261400000000",NULL,NULL,"20.8083261400000000","395794538.60000000",NULL,NULL,"395794538.60000000","482337.000000000000",NULL,NULL,"482337.000000000000"
"Dominican Republic 1984","1984","1","0","0","1","130.0373422","11594000000","6282104","130.0373422000000000",NULL,NULL,"130.0373422000000000","11594000000.00000000",NULL,NULL,"11594000000.00000000","6282104.000000000000",NULL,NULL,"6282104.000000000000"
"Dominican Republic 2004","2004","0","0","1","1","187.1895467","22322387382","9043127",NULL,NULL,"187.1895467000000000","187.1895467000000000",NULL,NULL,"22322387382.00000000","22322387382.00000000",NULL,NULL,"9043127.000000000000","9043127.000000000000"
"Dominican Republic 2008","2008","0","1","1","2","197.1216725","48122601530","9522948",NULL,"197.1216725000000000","197.1216725000000000","98.5608362500000000",NULL,"48122601530.00000000","48122601530.00000000","24061300765.00000000",NULL,"9522948.000000000000","9522948.000000000000","4761474.000000000000"
"Dominican Republic 2012","2012","0","1","1","2","207.6357276","60681535653","10030882",NULL,"207.6357276000000000","207.6357276000000000","103.8178638000000000",NULL,"60681535653.00000000","60681535653.00000000","30340767826.50000000",NULL,"10030882.000000000000","10030882.000000000000","5015441.000000000000"
"Dominican Republic 2016","2016","1","0","0","1","217.9174498","75704647878","10527592","217.9174498000000000",NULL,NULL,"217.9174498000000000","75704647878.00000000",NULL,NULL,"75704647878.00000000","10527592.000000000000",NULL,NULL,"10527592.000000000000"
"Ecuador 1996","1996","0","0","1","1","42.53439171","25226393197","11775221",NULL,NULL,"42.5343917100000000","42.5343917100000000",NULL,NULL,"25226393197.00000000","25226393197.00000000",NULL,NULL,"11775221.000000000000","11775221.000000000000"
"Ecuador 2008","2008","0","1","0","1","58.37009583","61762635000","14496797",NULL,"58.3700958300000000",NULL,"58.3700958300000000",NULL,"61762635000.00000000",NULL,"61762635000.00000000",NULL,"14496797.000000000000",NULL,"14496797.000000000000"
"Egypt, Arab Rep. 1984","1984","0","1","0","1","48.89893315","33971188992","48676443",NULL,"48.8989331500000000",NULL,"48.8989331500000000",NULL,"33971188992.00000000",NULL,"33971188992.00000000",NULL,"48676443.000000000000",NULL,"48676443.000000000000"
"Egypt, Arab Rep. 2004","2004","3","1","1","5","77.87676629","78782467532","77522427","25.9589220966666667","77.8767662900000000","77.8767662900000000","15.5753532580000000","26260822510.66666667","78782467532.00000000","78782467532.00000000","15756493506.40000000","25840809.000000000000","77522427.000000000000","77522427.000000000000","15504485.400000000000"
"Egypt, Arab Rep. 2008","2008","1","0","0","1","84.22802049","163000000000","83844783","84.2280204900000000",NULL,NULL,"84.2280204900000000","163000000000.00000000",NULL,NULL,"163000000000.00000000","83844783.000000000000",NULL,NULL,"83844783.000000000000"
"Egypt, Arab Rep. 2012","2012","0","2","0","2","91.65741725","279000000000","91240376",NULL,"45.8287086250000000",NULL,"45.8287086250000000",NULL,"139500000000.00000000",NULL,"139500000000.00000000",NULL,"45620188.000000000000",NULL,"45620188.000000000000"
"Egypt, Arab Rep. 2016","2016","3","0","0","3","100.2401226","332000000000","99784030","33.4133742000000000",NULL,NULL,"33.4133742000000000","110666666666.66666667",NULL,NULL,"110666666666.66666667","33261343.333333333333",NULL,NULL,"33261343.333333333333"
"Eritrea 2004","2004","1","0","0","1","22.83914736","1109054005","2763140","22.8391473600000000",NULL,NULL,"22.8391473600000000","1109054005.00000000",NULL,NULL,"1109054005.00000000","2763140.000000000000",NULL,NULL,"2763140.000000000000"
"Estonia 2000","2000","2","0","1","3","32.95553197","5686579748","1396985","16.4777659850000000",NULL,"32.9555319700000000","10.9851773233333333","2843289874.00000000",NULL,"5686579748.00000000","1895526582.66666667","698492.500000000000",NULL,"1396985.000000000000","465661.666666666667"
"Estonia 2002","2002","1","1","1","3","32.53951404","7367975888","1379350","32.5395140400000000","32.5395140400000000","32.5395140400000000","10.8465046800000000","7367975888.00000000","7367975888.00000000","7367975888.00000000","2455991962.66666667","1379350.000000000000","1379350.000000000000","1379350.000000000000","459783.333333333333"
"Estonia 2004","2004","2","1","0","3","32.14319415","12145911801","1362550","16.0715970750000000","32.1431941500000000",NULL,"10.7143980500000000","6072955900.50000000","12145911801.00000000",NULL,"4048637267.00000000","681275.000000000000","1362550.000000000000",NULL,"454183.333333333333"
"Estonia 2006","2006","0","0","3","3","31.77188016","17022870405","1346810",NULL,NULL,"10.5906267200000000","10.5906267200000000",NULL,NULL,"5674290135.00000000","5674290135.00000000",NULL,NULL,"448936.666666666667","448936.666666666667"
"Estonia 2008","2008","0","2","1","3","31.5425808","24341678629","1337090",NULL,"15.7712904000000000","31.5425808000000000","10.5141936000000000",NULL,"12170839314.50000000","24341678629.00000000","8113892876.33333333",NULL,"668545.000000000000","1337090.000000000000","445696.666666666667"
"Estonia 2010","2010","0","1","0","1","31.41012031","19523477326","1331475",NULL,"31.4101203100000000",NULL,"31.4101203100000000",NULL,"19523477326.00000000",NULL,"19523477326.00000000",NULL,"1331475.000000000000",NULL,"1331475.000000000000"
"Estonia 2012","2012","1","1","0","2","31.20301958","23019150071","1322696","31.2030195800000000","31.2030195800000000",NULL,"15.6015097900000000","23019150071.00000000","23019150071.00000000",NULL,"11509575035.50000000","1322696.000000000000","1322696.000000000000",NULL,"661348.000000000000"
"Estonia 2016","2016","4","0","0","4","30.2689211","24072829277","1315790","7.5672302750000000",NULL,NULL,"7.5672302750000000","6018207319.25000000",NULL,NULL,"6018207319.25000000","328947.500000000000",NULL,NULL,"328947.500000000000"
"Ethiopia 1992","1992","2","0","1","3","47.2402852","10492993078","52011554","23.6201426000000000",NULL,"47.2402852000000000","15.7467617333333333","5246496539.00000000",NULL,"10492993078.00000000","3497664359.33333333","26005777.000000000000",NULL,"52011554.000000000000","17337184.666666666667"
"Ethiopia 1996","1996","1","0","2","3","59.347649","8547939731","59347649","59.3476490000000000",NULL,"29.6738245000000000","19.7825496666666667","8547939731.00000000",NULL,"4273969865.50000000","2849313243.66666667","59347649.000000000000",NULL,"29673824.500000000000","19782549.666666666667"
"Ethiopia 2000","2000","3","1","4","8","67.031867","8242349618","67031867","22.3439556666666667","67.0318670000000000","16.7579667500000000","8.3789833750000000","2747449872.66666667","8242349618.00000000","2060587404.50000000","1030293702.25000000","22343955.666666666667","67031867.000000000000","16757966.750000000000","8378983.375000000000"
"Ethiopia 2004","2004","2","3","2","7","66.72089877","10131187261","75301026","33.3604493850000000","22.2402995900000000","33.3604493850000000","9.5315569671428571","5065593630.50000000","3377062420.33333333","5065593630.50000000","1447312465.85714286","37650513.000000000000","25100342.000000000000","37650513.000000000000","10757289.428571428571"
"Ethiopia 2008","2008","2","1","4","7","74.74700275","27066912635","84357105","37.3735013750000000","74.7470027500000000","18.6867506875000000","10.6781432500000000","13533456317.50000000","27066912635.00000000","6766728158.75000000","3866701805.00000000","42178552.500000000000","84357105.000000000000","21089276.250000000000","12051015.000000000000"
"Ethiopia 2012","2012","3","1","3","7","83.69022203","43310721414","94451280","27.8967406766666667","83.6902220300000000","27.8967406766666667","11.9557460042857143","14436907138.00000000","43310721414.00000000","14436907138.00000000","6187245916.28571429","31483760.000000000000","94451280.000000000000","31483760.000000000000","13493040.000000000000"
"Ethiopia 2016","2016","5","2","1","8","93.29886502","74296745208","105293228","18.6597730040000000","46.6494325100000000","93.2988650200000000","11.6623581275000000","14859349041.60000000","37148372604.00000000","74296745208.00000000","9287093151.00000000","21058645.600000000000","52646614.000000000000","105293228.000000000000","13161653.500000000000"
"Fiji 2016","2016","0","0","13","13","50.26661193","4930213634","918371",NULL,NULL,"3.8666624561538462","3.8666624561538462",NULL,NULL,"379247202.61538462","379247202.61538462",NULL,NULL,"70643.923076923077","70643.923076923077"
"Finland 1964","1964","7","7","6","20","14.93333005","7766655086","4548543","2.1333328642857143","2.1333328642857143","2.4888883416666667","0.74666650250000000000","1109522155.14285714","1109522155.14285714","1294442514.33333333","388332754.30000000","649791.857142857143","649791.857142857143","758090.500000000000","227427.150000000000"
"Finland 1968","1968","6","4","2","12","15.18916905","8823033880","4626469","2.5315281750000000","3.7972922625000000","7.5945845250000000","1.2657640875000000","1470505646.66666667","2205758470.00000000","4411516940.00000000","735252823.33333333","771078.166666666667","1156617.250000000000","2313234.500000000000","385539.083333333333"
"Finland 1972","1972","7","10","3","20","15.23246659","14743186120","4639657","2.1760666557142857","1.5232466590000000","5.0774888633333333","0.76162332950000000000","2106169445.71428571","1474318612.00000000","4914395373.33333333","737159306.00000000","662808.142857142857","463965.700000000000","1546552.333333333333","231982.850000000000"
"Finland 1976","1976","1","12","9","22","15.51483634","31849513771","4725664","15.5148363400000000","1.2929030283333333","1.7238707044444444","0.70521983363636363636","31849513771.00000000","2654126147.58333333","3538834863.44444444","1447705171.40909091","4725664.000000000000","393805.333333333333","525073.777777777778","214802.909090909091"
"Finland 1980","1980","11","6","4","21","15.69170032","53645202423","4779535","1.4265182109090909","2.6152833866666667","3.9229250800000000","0.74722382476190476190","4876836583.90909091","8940867070.50000000","13411300605.75000000","2554533448.71428571","434503.181818181818","796589.166666666667","1194883.750000000000","227596.904761904762"
"Finland 1984","1984","18","5","8","31","16.02745658","52888800950","4881803","0.89041425444444444444","3.2054913160000000","2.0034320725000000","0.51701472838709677419","2938266719.44444444","10577760190.00000000","6611100118.75000000","1706090353.22580645","271211.277777777778","976360.600000000000","610225.375000000000","157477.516129032258"
"Finland 1988","1988","7","23","8","38","16.23980104","109000000000","4946481","2.3199715771428571","0.70607830608695652174","2.0299751300000000","0.42736318526315789474","15571428571.42857143","4739130434.78260870","13625000000.00000000","2868421052.63157895","706640.142857142857","215064.391304347826","618310.125000000000","130170.552631578947"
"Finland 1992","1992","8","5","7","20","16.55337339","113000000000","5041992","2.0691716737500000","3.3106746780000000","2.3647676271428571","0.82766866950000000000","14125000000.00000000","22600000000.00000000","16142857142.85714286","5650000000.00000000","630249.000000000000","1008398.400000000000","720284.571428571429","252099.600000000000"
"Finland 1994","1994","29","1","0","30","16.70551561","103000000000","5088333","0.57605226241379310345","16.7055156100000000",NULL,"0.55685052033333333333","3551724137.93103448","103000000000.00000000",NULL,"3433333333.33333333","175459.758620689655","5088333.000000000000",NULL,"169611.100000000000"
"Finland 1996","1996","1","2","1","4","16.82449522","132000000000","5124573","16.8244952200000000","8.4122476100000000","16.8244952200000000","4.2061238050000000","132000000000.00000000","66000000000.00000000","132000000000.00000000","33000000000.00000000","5124573.000000000000","2562286.500000000000","5124573.000000000000","1281143.250000000000"
"Finland 1998","1998","49","7","2","58","16.91945894","134000000000","5153498","0.34529508040816326531","2.4170655628571429","8.4597294700000000","0.29171480931034482759","2734693877.55102041","19142857142.85714286","67000000000.00000000","2310344827.58620690","105173.428571428571","736214.000000000000","2576749.000000000000","88853.413793103448"
"Finland 2000","2000","1","1","3","5","16.99402147","126000000000","5176209","16.9940214700000000","16.9940214700000000","5.6646738233333333","3.3988042940000000","126000000000.00000000","126000000000.00000000","42000000000.00000000","25200000000.00000000","5176209.000000000000","5176209.000000000000","1725403.000000000000","1035241.800000000000"
"Finland 2002","2002","1","5","7","13","17.07409304","140000000000","5200598","17.0740930400000000","3.4148186080000000","2.4391561485714286","1.3133917723076923","140000000000.00000000","28000000000.00000000","20000000000.00000000","10769230769.23076923","5200598.000000000000","1040119.600000000000","742942.571428571429","400046.000000000000"
"Finland 2004","2004","0","2","0","2","17.16462129","197000000000","5228172",NULL,"8.5823106450000000",NULL,"8.5823106450000000",NULL,"98500000000.00000000",NULL,"98500000000.00000000",NULL,"2614086.000000000000",NULL,"2614086.000000000000"
"Finland 2006","2006","7","34","0","41","17.31698399","217000000000","5266268","2.4738548557142857","0.50932305852941176471",NULL,"0.42236546317073170732","31000000000.00000000","6382352941.17647059",NULL,"5292682926.82926829","752324.000000000000","154890.235294117647",NULL,"128445.560975609756"
"Finland 2008","2008","2","2","1","5","17.48403751","286000000000","5313399","8.7420187550000000","8.7420187550000000","17.4840375100000000","3.4968075020000000","143000000000.00000000","143000000000.00000000","286000000000.00000000","57200000000.00000000","2656699.500000000000","2656699.500000000000","5313399.000000000000","1062679.800000000000"
"Finland 2010","2010","46","1","0","47","17.64841066","249000000000","5363352","0.38366110130434782609","17.6484106600000000",NULL,"0.37549809914893617021","5413043478.26086957","249000000000.00000000",NULL,"5297872340.42553191","116594.608695652174","5363352.000000000000",NULL,"114113.872340425532"
"Finland 2012","2012","4","1","0","5","17.81556155","258000000000","5413971","4.4538903875000000","17.8155615500000000",NULL,"3.5631123100000000","64500000000.00000000","258000000000.00000000",NULL,"51600000000.00000000","1353492.750000000000","5413971.000000000000",NULL,"1082794.200000000000"
"Finland 2014","2014","24","7","2","33","17.97200303","275000000000","5461512","0.74883345958333333333","2.5674290042857143","8.9860015150000000","0.54460615242424242424","11458333333.33333333","39285714285.71428571","137500000000.00000000","8333333333.33333333","227563.000000000000","780216.000000000000","2730756.000000000000","165500.363636363636"
"Finland 2016","2016","1","0","0","1","18.08200783","241000000000","5495303","18.0820078300000000",NULL,NULL,"18.0820078300000000","241000000000.00000000",NULL,NULL,"241000000000.00000000","5495303.000000000000",NULL,NULL,"5495303.000000000000"
"France 1964","1964","17","17","4","38","89.00113776","94007851047","48733997","5.2353610447058824","5.2353610447058824","22.2502844400000000","2.3421352042105263","5529873591.00000000","5529873591.00000000","23501962761.75000000","2473890817.02631579","2866705.705882352941","2866705.705882352941","12183499.250000000000","1282473.605263157895"
"France 1968","1968","12","8","16","36","92.8052874","130000000000","50817020","7.7337739500000000","11.6006609250000000","5.8003304625000000","2.5779246500000000","10833333333.33333333","16250000000.00000000","8125000000.00000000","3611111111.11111111","4234751.666666666667","6352127.500000000000","3176063.750000000000","1411583.888888888889"
"France 1972","1972","17","6","2","25","96.13067283","203000000000","52637888","5.6547454605882353","16.0217788050000000","48.0653364150000000","3.8452269132000000","11941176470.58823529","33833333333.33333333","101500000000.00000000","8120000000.00000000","3096346.352941176471","8772981.333333333333","26318944.000000000000","2105515.520000000000"
"France 1976","1976","9","7","5","21","98.55717484","372000000000","53966558","10.9507972044444444","14.0795964057142857","19.7114349680000000","4.6931988019047619","41333333333.33333333","53142857142.85714286","74400000000.00000000","17714285714.28571429","5996284.222222222222","7709508.285714285714","10793311.600000000000","2569836.095238095238"
"France 1980","1980","7","5","18","30","100.5405412","701000000000","55052582","14.3629344571428571","20.1081082400000000","5.5855856222222222","3.3513513733333333","100142857142.85714286","140200000000.00000000","38944444444.44444444","23366666666.66666667","7864654.571428571429","11010516.400000000000","3058476.777777777778","1835086.066666666667"
"France 1984","1984","33","17","20","70","102.7742793","531000000000","56275701","3.1143721000000000","6.0455458411764706","5.1387139650000000","1.4682039900000000","16090909090.90909091","31235294117.64705882","26550000000.00000000","7585714285.71428571","1705324.272727272727","3310335.352941176471","2813785.050000000000","803938.585714285714"
"France 1988","1988","14","4","13","31","104.9602258","1020000000000","57472651","7.4971589857142857","26.2400564500000000","8.0738635230769231","3.3858137354838710","72857142857.14285714","255000000000.00000000","78461538461.53846154","32903225806.45161290","4105189.357142857143","14368162.750000000000","4420973.153846153846","1853956.483870967742"
